comment_content,show_name,post_comment [Total Events]
تكرر ذكر بلاد (السودان) علي لسان الضيف .. فيما يبدو أنهم درجوا علي توصيف كل من يقطن الغرب الأفريقي…او من هذا القبيل،هل هذا المسمي فعلي ام كان,فنجان مع عبدالرحمن أبومالح,1
تكفون نبي مرئي انتم تستطيعون رغم الوقت القصير، وقولوا لفريق التسويق يبدأ تحركاته نايمين الله يصلحهم 🫣,فنجان مع عبدالرحمن أبومالح,1
تكفى سو معه مقابلة عن العيوب الشخصية وكيفية التعامل معها,فنجان مع عبدالرحمن أبومالح,1
تكلم بشفافية 👌,سقراط مع عمر الجريسي,1
"تكلمت كثير عن امشِ مع، فما ودي أتكلم زيادة إلا لو فيه شيء جديد فعلا حسيت فيه، وهو اللي صار بهذي الحلقة.

ما تخيلت بيوم من الأيام بروح قرية في ع",undefined,2
تكلمو عن تأثير رونالدو  على البليهي  هل صافرات الاستهجان القويه  سببها شعبية رونالدو ؟,مرتدة,1
تلخيص جيد لأحداث السنة 👍🏻👍🏻,الفجر,1
تلخيص رائع عن تريند الأطباء النفسيين في تيك توك 👌🏻,"Today, Explained",1
تلقائي جداً نثر أم العلوم في البودكاست وما عليه من أحد 😂 رهيب جداً,سوالف بزنس مع مشهور الدبيان,1
تليقرام تطبيق رايق جدًا. أحب المجتمعات هناك عظيمة ومفيدة جدًا. بعيدًا عن صراخ تويتر.  حلقة جيّدة,The Daily,1
تم,سقراط مع عمر الجريسي,1
"تم ابلاغ قناة ثمانية من شهر ان عندهم مشكلة في المقاطع انها ما تشتغل وهذا ردهم  ممتنة لتوضيحك.🌟

من فضلك أغلق التطبيق تمامًا، ثم عاود فتحه وجر",فنجان مع عبدالرحمن أبومالح,1
"تم اصدار قرار الاشتراك الدائم لراديو ثمانية
شكرا لكم اخيرا",فنجان مع عبدالرحمن أبومالح,1
تم الاشتراك,سقراط مع عمر الجريسي,2
تم الاشتراك,فنجان مع عبدالرحمن أبومالح,2
تم الاشتراك .. شكر على مجهوداكم العظيمة 🤍,فنجان مع عبدالرحمن أبومالح,1
تم الاشتراك وبدون تردد 👍🏻 لأنكم مميزين ولأنكم منّا 🤍 نحبكم و نتمنى لكم الازدهار المستمر 🌳,فنجان مع عبدالرحمن أبومالح,1
تم و خطوة موفقة ان شاء الله 🙏🏻🧡 .. بس هل الحلقة الي بكره بتكون حلقة الأسبوع الجاي يعني ولا بتنزل حلقتين حلقة للمشتركين و حلقة الأسبوع الجاي,فنجان مع عبدالرحمن أبومالح,1
تمام,فنجان مع عبدالرحمن أبومالح,2
تمرّ معلومات نسمعها أو نقرأها عن النفس، وكيف إنّك ترتقي بها، وتفهما؛ لحياة سعيدة مطمئنّة. ولكن الصدق يصعب بوجود أقوال تنافي أقوال أخرى، ونه,undefined,2
تمنيت أن يخصص وقت اطول لهذه الحلقةأو أن تكون على اجزاء,فنجان مع عبدالرحمن أبومالح,1
تمنيت صراحه اني كنت تحت قيادته,فنجان مع عبدالرحمن أبومالح,1
"تمنيت لو الاشتراك من الموقع لتعزيز الربحية
واتمنى وجود موقع لراديو ثمانية تتواجد به جميع
 النشرات من",فنجان مع عبدالرحمن أبومالح,1
"تمنيت لو الاشتراك من الموقع لتعزيز الربحية
واتمنى وجود موقع لراديو ثمانية تتواجد به جميع
 النشرات من جميع الناشرين.",فنجان مع عبدالرحمن أبومالح,1
"تمنيت لو الاشتراك من الموقع لتعزيز الربحية
واتمنى وجود موقع لراديو ثمانية تتواجد به جميع النشرات من كل الناشرين",فنجان مع عبدالرحمن أبومالح,1
تمنيت لو الاشتراك من الموقع لتعزيز الربحية واتمنى يسوون موقع لراديو ثمانية تتواجد به جميع النشرات من جميع الناشرين,فنجان مع عبدالرحمن أبومالح,1
تمنيت لو الاشتراك من الموقع واتمنى يسوون موقع لراديو ثمانية تتواجد به جميع النشرات من جميع الناشرين,فنجان مع عبدالرحمن أبومالح,1
"تمنيت لو ان أحمد لم يلتزم بشدة بنقاط الحوار وسمح بعض الشيء لعبدالمحسن بالاستطراد.

تأثرت كثيرا بقصة والدته رغم انه لم يطل في ذكرها الا ان قصت",حكايات افريقية,1
تمنيت لو في مراجع او روابط يحطونها تحت مثل فنجان ولا ابو مالح حاله خاصة😅. حلقة رائعة,سوالف بزنس مع مشهور الدبيان,1
تمنيت لو كانت الحلقة بصوت من المغرب.,Dom Tak | دُمْ تَكْ,1
تمنيت لو مشتركة بثمانية عشان اشيل الموسيقى المزعجة 😞,فكّر فيا,1
"تمنيت ميزة الموسيقى ما تكون ضمن الخدمات المدفوعة
رغم اني تنبأت بذلك 

الله ييسر",فنجان مع عبدالرحمن أبومالح,1
تمنّيتها أطول,امش مع,1
تنبئين  ممتازين  من البرنامج  قبل حلقتين الاول بخصوص ولد بايددن و الثاني بخصوص كوريا,الفجر,1
"تنبيه الحلقة عالايميل شدني وفتحتها بنفس اللحظة ..
تفاجأت بطول الحلقة لكن تسلسل الاحداث والحماسة خلت الوقت يمر سريع بدون ملل 🎧

مواضيع الاند",فنجان مع عبدالرحمن أبومالح,1
"تنفس وانطفى القنديل
‏وتبلل بالدمع منديل
‏وخصلات الشعر شابوا
‏أظن أحبابنا غابوا

رحمة الله عليه",أسمار,1
تهديد ترامب للدينمارك بغزو قرين لاند اعتقد بس كلام لان  الدينمارك عضو في الناتو كيف تهدد الدينمارك بغزوها واذا غزوتها راح تقدر تفعل المادة ا,الفجر,1
توسع الصدر 🤣👌,بودكاست يصير خير,1
"توصه حل،ه من فيصل 

ٌ§اتبي تهدف كيف تشتغل ثمانين ،ما المن؛ق ،داي يبلينا بليلا يبل يباليا يبل يبل يبل يبل يبل 

— يبليبليبل يبل يبل يبل يبل يلب",Lenny's Podcast: Product | Growth | Career,1
توصية للي ماسك خط مع أحد والديه، لقاء ممتع لكل شرائح المجتمع,بودكاست يصير خير,1
"توصيه حلوه من فيصل 🙌

إذا تبي تعرف كيف تشتغل ثمانية؟ وما المنطق وراء بعض قراراتها وثقافتها وطريقة عملها؟ فهذه حلقة تحمل بعض الإجابات ✨ 

— ج",Lenny's Podcast: Product | Growth | Career,12
توقعت القى  مواضيع اوسع و اشمل مو بس ترويج للسياحة الداخلية 🙂,nil,1
توقعت اني من اول ١٠ دقايق راح اقفل لكن أحساسي بالزمن مر علي اسرع تمنيت اجّمد سرعة الضوء عشان استمر في المتعة السمعيةوكمية المعلومات اللطيفة,شمس,1
"توقعت تكون الحلقة افضل 
مما يُلاحظ على الضيف الكريم 
قصة هاجر وإسماعيل عليهما السلام يجهلها او يرويها بطريقة…!!",فنجان مع عبدالرحمن أبومالح,1
"توقعت كل شي الا التحول بالقصة برجعة اميمة .. ومديرة بعد 😂
بس والله حلقة محورية وبه قلبه رهيبة للموسم كله 
 كل شوي اقول هذا المبهر يطلع شي زود",احتيال,1
توقعون الذكاء الاصطناعي التوليدي راح يلتهم الوظائف؟   حلقة بدايتها تخوف ونهايتها تطمن.  وأنت حر في تفكيرك 😁,الفجر,1
توقيت الحلقة 💯 perfect.,فنجان مع عبدالرحمن أبومالح,1
توكلنا على الله حان وقت المشي 🏃🏻‍♂️,امش مع,1
توني اربط ربوع وجادي 🫥🫥,جادي,1
توني اكتشف البودكاست وحبيته كثير خاصة هالحلقة 🙏🏻,الصفحة الأخيرة,1
"توني بدأت الموسم الثاني — الحسد بالدور 🤏🏻
تعرفون لما تأجلون وجبة لذيذة لوقت اطول عشان تستمتعون فيها اكثر؟ هذا تعاملي مع احتيال من نزل الم",undefined,1
"توني مبدي اشاهد الحلقة، لاحظة شغلة تقنية 

صوت الحلقة في البرنامج صاير ضعيف و أقل من صوتها في اليوتيوب",محفوف,1
توني محملته وعلطول حملت حلقات افنان ❤️,كنبة السبت,1
توو متش باور توو متش انا,امش مع,1
توي أشوف خاصية الفيديو ❤️‍🔥 جنووون يا ثمانية,فنجان مع عبدالرحمن أبومالح,1
توي احمل تطبيق 8 والسبب هذي الحلقه رائعه,undefined,1
توي اشتراكة وحلقة ماتشتغل عندي صوت ماهو فيه,فنجان مع عبدالرحمن أبومالح,1
"توي بأول عشر دقايق وأتوقع أنها ضمن أكثر عشر حلقات تضحك نزلت في ٢٠٢٤. جاي أعلق عشان ما أنسى بس، يقول تشارلي بتصرف: ""يُفضل أنك قبل ما تكتب كتابك",The Knowledge Project with Shane Parrish,1
"توي جديده على البرنامج واكتشفه 
وشكرا لكم مره اعجبني ❤️💐 
سؤالي هل اقدر ادخل على رابط الحلقه مشاهده ولا لا ؟لاني احيانا احب اشوف تعابير الش",فنجان مع عبدالرحمن أبومالح,1
توي طايح بالبودكاست ويبدو مثري من أول حلقة شفتها، تفاصيل استثمار وحوكمة شرح لها وتجربة عائلية,مدرسة الاستثمار,1
"توي مخلص مشية ما بعد المغرب مع هالحلقة.
الصدق ما أعرف فدوى، ولكن لمستني جدًا بكلامها، خصوصًا إني ضمن نادي الطفل الأوسط، وكل ما زانت الجلسة غي",امش مع,1
تيب تيب,Hot Literati,1
تيتيتًهطهين ،  نسنيني مطنين <@_!#_lGjnpqwRwqcLlDOVgL00yQSd3Ru1_!#_Sherazh_!#_> أنينيني نيتطتيتي. يننينين تيتنين ينتيطننط ًنطنطنطن طروطنط طننطنط نطنطنط تطنططن طنن,بلوميستس,1
تيتيتًهطهين ، نسنيني مطنين أنينيني نيتطتيتي. يننينين تيتنين ينتيطننط ًنطنطنطن  طروطنط طننطنط نطنطنط تطنططن طننططنًطننطنط <@_!#_lGjnpqwRwqcLlDOVgL00yQSd,بلوميستس,1
تيتيتًهطهين ، نسنيني مطنين أنينيني نيتطتيتي. يننينين تيتنين ينتيطننط ًنطنطنطن <@_!#_lGjnpqwRwqcLlDOVgL00yQSd3Ru1_!#_Sherazh_!#_> طروطنط طننطنط. نطنطنط,بلوميستس,1
تيتيتًهطهين ، نسنيني مطنين أنينيني نيتطتيتي. يننينين تيتنين ينتيطننط ًنطنطنطن طروطنط طننطنط نطنطنط تطنططن طننططنًطننطنط ، نطنطن  Sherazh ينطن,بلوميستس,1
تيتيتًهطهين ، نسنيني مطنين أنينيني نيتطتيتي. يننينين تيتنين ينتيطننط ًنطنطنطن طروطنط طننطنط نطنطنط تطنططن طننططنًطننطنط ، نطنطن <@_!#_lGjnpqwRwqc,بلوميستس,1
تيست,امشِ مع,1
تيست,بودكاست المتاحف,2
تيست,بودكاست تنظيم المهام اليومية وإدارة الوقت الاحترافي الشامل,2
تيسست,بلوميست,1
تَكلم الشيخ أبو عبدالرحمن عن المخطط الزمني لبداية المذاهب ، و عدد المذاهب الغربية البارزة ، و عن الليبرالية و عن علاقتها بالإقتصاد ، و موضع,بودكاست شرفة,1
تُحفة!,احتيال,1
ثاني أغرب قصّة كويتية سمعتها -بعد قصّة بدر المطيري اللي رواها في رواية (أعوام الظلام)، وأتمنى إنّنا نسمعها منه في بودكاست ما- عن رحّالة لف الع,محفوف,1
"ثاني حلقة اسمعها للدكتور بندر .. 🎧
متعة و دهشة و اعتزاز  ..
حلقة ضروري تنسمع في كل بيت ولكل جيل و لمختلف الأعمار ⭐️",فنجان مع عبدالرحمن أبومالح,1
ثاني ظهور للأمير في فنجان وواضح جدية العمل ووضوح المهام.,فنجان مع عبدالرحمن أبومالح,1
"ثاني مرة اعيد الحلقة بعد ما نسيتها 
حلقة خط ما فيه شيء يوصفها اكثر جميلة جدا.",فنجان مع عبدالرحمن أبومالح,1
ثقافة و علم و حضور ذهني و استرسال رائع,جادي,1
ثقييلة هالحلقة وميّزها ضيفها. حلقة مليئة بالأجوبة اللي أجزم إن كثير ودّه يعرفها.,الفجر,1
ثلاث سنين يالله العافية,undefined,1
ثلاث مرات سمعتها واحس اني برجعلها كل ما احتاج لها وغالباً كل ما امسك خط متجه لمكه المكرمه للعمره,فنجان مع عبدالرحمن أبومالح,1
ثلاثي جميل ومتناغم 👍,شوط,1
"ثلاثي رهيب ❤️🔥
حلقة رائعة يعطيكم العافية",كواليس,1
ثلاثية العار، الكيف، وجري الوحوش ليست مجرد أفلام، بل دروس في الأخلاق والصراع الإنساني. الحلقة تُعيد إحياء تلك القضايا بطرح عميق يجعلنا نعيد,افلام و مسلسلات,1
"ثم عاد، كأن شيئًا لم يكن.
بعد توقّفه لإجازة، يعود بودكاست «جادي» بحلقة عن: الإجازة. 😁
يناقش محمد وهادي تأثيرها على العمل والاقتصاد، بدون مرا",جادي,1
ثمانية استعجلت في نظام الاشتراك لابد من مزايا اضافية + الحلقة ممتازة شكرا,سوالف بزنس مع مشهور الدبيان,1
ثمانية افظل مكان تبعد فيه عن وسائل التواصل اللي مامنها اي فايده سواء تضييع الوقت ومجتمعات غريبه في ثمانيه مستحيل يضيع وقت بدون ماتستفيد💚👌,الفجر,1
ثمانية تستاهل الدعم❤️,فنجان مع عبدالرحمن أبومالح,1
ثمانية تستحقون كل أموالي هههه 💸. كامتنان على كل اثر تركته انتاجاتكم علي .. ودام الاشتراك فيه مميزات ايضًا، وشجرة! الله الله sign ME in as a subscriber for,فنجان مع عبدالرحمن أبومالح,2
"ثمانية كريمة و احنا نستاهل 🙂‍↕️🧡.. 
تونا مستانسين بالتحديثات ، ولسى ما خلصت جولتي فالتطبيق ، وتجي هالحلقة تخرب الطابور و القوائم عشان تاخ",undefined,1
"ثمانية لو عندكم فريق عمل مبيعات زين كان دور معلن للبودكاست يبيع سماعات تصلح للمشي.
 
حبذا تحولون عمولة لو استفدتوا من الفكرة 😎",امش مع,1
ثمود إضافة رائعة، ليته يصبح مقدم رئيسي في الفجر,الفجر,1
ثمود ماله حل 😂,الفجر,1
ثمود من سار على الدرب وصل 👍🏼😁اعجبني انك صملت لنهايه,رابط تشعبي,1
ثمود وين جواب السوال ليه انا ساخطه وانا توي داخله الجامعه ؟,رابط تشعبي,1
"ثمود يتحدى توقعاتنا في المواضيع 
شكرا جزيلا",رابط تشعبي,1
"ثمود يخليك تتحمس مع كل شي وتشعب رهيب

لكن ليش صوت الدب صار زي الكلب ههههههه",رابط تشعبي,1
ثمود يصلح يسوي برنامج تحشيري فنان على طريقة حسن معوض في نقطة نظام.,رابط تشعبي,1
ج,أسمار,1
"جاءني شعور انكم اخترتم الضيف المحترم بناء على تخصصه و علمه ولم يؤخذ بالحسبان مهاراته كمتحدث ! 
جهود مشكورة وتمنياتي بالتوفيق في الحلقات المق",جادي,1
جاازت لي مررررره اعتبرها من الحلقات الاستثنائيه في بودكاست يصير خير,بودكاست يصير خير,1
جابت طاري ورقة ليسا بلايدز (Constraints on Female Labor Force Participation in Qatar)  ووومدري احسها دليل ان السالفة مو سالفة ظروف وأحوال، السالفة انهم مدري… مب صاحين,Good on Paper,1
جادة سيكون ظاهرة مهمة في تاريخ الإعلام السعودي، إذا لم يكن أصلا. هذا الثبات في الجودة يُدرّس.,جادي,1
"جادي افضل برنامج
وال جابر وفقيهي اطلق مقدمين.
والسلام عليكم ورحمة الله وبركاته.",جادي,1
جادي البودكاست اللي يستحق تجاوز الطابور والاستماع فور النشر,جادي,1
"جادي بصبغة أخرى 🤍
محمد بالذات ولا يهون هادي مبدع جداً في النظريات اللي يسردها، بس بحكم اني متابع لأغلب حلقات بودكاست جادي حسيت انه هالحلقةك",فنجان مع عبدالرحمن أبومالح,1
جادي جميل ،دخل جديد لكن دائما مواضيعه متجدده وتلامس الواقع,جادي,1
"جادي رجعوا من الإجازة، وقرّروا أنهم يبدأون بالموضوع اللي خرّب إجازتهم — 🎉😈
مع ارتفاع أسعار الإيجار في الرياض، صرنا نسمع مطالبات كثيرة با",جادي,1
جادي سيكون ظاهرة مهمة في تاريخ الإعلام السعودي، إذا لم يكن أصلًا. هذا الثبات في الجودة يُدرّس.,جادي,1
"جادي مازال يحلق في أفق آخر،
جميل هو السجال واختلاف وجهات النظر بين هادي ومحمد والذي أثرى النقاش وأضاف لنا الكثير كمتابعين",جادي,1
"جادي هو افضل بودكاست اقتصادي متنوع في اخر سنه ، كل حلقه اجمل من الي قبلها ..
ابداع صراحة 👍🏻",جادي,1
جادي هو افضل بودكاست في الفترة الأخيرة,جادي,1
"جادي و الكافيين ( كافين ) ☕️🧡

رهيبة الحلقة بكل النواحي 👍🏻

الوقت في حلقات جادي ربي مبارك فيه سواء الحلقة طويلة او قصيرة، تحطمت اول ماشفت ا",undefined,1
"جارة القمر، هي الدهشة الاولى حين سمعت الأغنية وعرفت الأغاني 
استمعت لها صغيرًا وكِبرت معها، لقد رسمت بداخلي ذوقًا وحِسًا لمعنى الجمال
في هذ",Dom Tak | دُمْ تَكْ,1
جاري اثارة الجدل يصير المرة الجاية احمد ينتبه لنا 😂😂🙆🏻‍♀️,جادي,1
جاري الاستماع.   …,فنجان مع عبدالرحمن أبومالح,1
جارِ تقييم الحلقه بس انا متأكده انها زي العاده رهيبهه واسلوب سلس ف السرد وممتع 🫶🏻(لو ماعجبتني بحذف الكومنت🤣),جناية,1
جالس أتسمع لحلقات عن تيد لاسو، وطحت على هالمقابلة القصيرة مع بيل لورنس، مدير المسلسل، ومعه المسؤولة عن اختيار الممثلين، نظرة حلوة على خلف ا,Crew Call with Anthony D'Alessandro,1
"جالس أسمع حلقات البودكاست بالترتيب، ووصلت لها فكان لازم أسمعها، حتى وأنا حافظها صم.
والصدق مب غريبة أنها أشهر حلقة لهم، فيها كل العناصر الي",The Dollop with Dave Anthony and Gareth Reynolds,1
جامد,جناية,1
جامد,سوالف بزنس مع مشهور الدبيان,1
جانب مهم جداً,آدم مع محمد الحاجي,1
"جاني أرق وسمعتها عشان أرفّه عن نفسي🙂‍↕️
انصدمت إن كوثر تشبهني كثيير، تقول أنا ما أتعلم أول عشان أطبق، أنا آخذ الموجود وأطبق فيه. وأنا أقول",بالحديث عن الموضة,1
"جاني شعور تسجيل حلقات friends 🥹 .. 
لانه فعلاً احنا اصدقاء ثمانية وسوالف بزنس🙂‍↕️🧡",سوالف بزنس مع مشهور الدبيان,1
"جاني شعور طفيف بالحزن وغريب من ناحية انتقال ورحيل الأصدقاء في الطفولة وتأثيره عليه
القصة وهي مروية من جانب الشخص اللي ينترك، حزنتني لأن من ج",امشِ مع,1
"جاني فضول اقرأ مدونتها 
ولعلي طحت فيها ومحد سمّى علي🏃🏻‍♀️‍➡️",فنجان مع عبدالرحمن أبومالح,1
جاوب! 😉,The Hustle Daily Show,1
"جاوبت الحلقة على تساؤلات ،كيف ولماذا ،ومتى وصلنا لهذا الحال! ،
وماهي طرق العلاج ؟

حلقة رائعة ،المصادر موجود بتوتر",بودكاست كاف,1
"جاي أبي أقول ""مرت سنة"" على موسم رمضان، بس طلع مرت سنتين!!
يا سرع الأيام بس، الله يرحمنا برحمته.",أشياء غيرتنا,1
جاي متحمس عشان القى حل لي مشكلة أصبحت كبيرة جدا على يومي 🔥🔥,بودكاست كاف,1
جاي من تيكتوك 😂😂,فنجان مع عبدالرحمن أبومالح,1
جايتكم من نشرة إلخ و جبتو راسي بالوصف لذا البودكسات,رابط تشعبي,1
جايه من المستقبل 2024 😂,فنجان مع عبدالرحمن أبومالح,1
جايه من المستقبل وماصارت الجامعات ماضي 🦦,فنجان مع عبدالرحمن أبومالح,1
جايه من اليوتيوب استمتع الحلقه بشكل,فنجان مع عبدالرحمن أبومالح,1
جبارة الحلقة.,فنجان مع عبدالرحمن أبومالح,1
جبتم طاري الاكل مثل كل مره، لكن ايش الجديد هذي المره ؟ اكل صحي 👌🏽,مقهى الانمي Anime Cafe,1
جج,سقراط مع عمر الجريسي,2
جدآ جميله الفكره ومشروع يفك ازمه للنساء,أصوات,1
جدا,مشاعر,1
جدا استمتعت بالحلقة .. اراء براء عالم و ثقافته السنمائيه و اسلوبه في الحوار تخليني اتحمس اقابله شخصيا .. ينقصنا ممثلين ومبدعين بهذا الشغف وال,النشرة السينمائية,1
جدا رائعة الحلقة وتستحق السماع!,mishbilshibshib | مش بالشبشب,1
جدا رهيب,آدم مع محمد الحاجي,1
جدا فخورة بك يالريم وبأمثالك الله إيجازي أمك وابوك دمتي متميزة جدا عاقلة ومثقفة يارب يوفقك يارب,فنجان مع عبدالرحمن أبومالح,1
جدا معجب ب سموه وحلقه جميله ولقاء فعلا جميل ولا غلطه,فنجان مع عبدالرحمن أبومالح,1
جدا مفيدة الحلقة أهمية التواصل والأسئلة المناسبة والوعي وكذلك الشغل وبذل الجهد ومعنى الحب .  شكراً,فنجان مع عبدالرحمن أبومالح,1
جداً اعجبتني الحلقة ..من كثر المعلومات ابي اسمعها مرة ثانيه بالورقة والقلم واسجل الاسماء و التجارب الي ذكرها,فنجان مع عبدالرحمن أبومالح,1
جداً تأثرت بكل حدث تكلمت فتحت عيوني على شي انا ما كنت اعرفه وعيشتني كل لحظه فيه حسيت قد ايش العالم صغير واني ما عرفت شي للحين حمدت ربي على احز,فنجان مع عبدالرحمن أبومالح,1
جداً تأثرت بكل حدث فتحت عيوني على شي انا ما كنت اعرفه وعيشتني كل لحظه فيه حسيت قد ايش العالم صغير واني ما عرفت شي للحين حمدت ربي على احزاني وت,فنجان مع عبدالرحمن أبومالح,1
جداً رهيبه اشكركم رجعتوني لل ماضي,رابط تشعبي,1
جديد رابط تشعبي وصلللل 🤩,رابط تشعبي,1
جربت الإستماع لحلقاتكم صوتياً على كثيراً من تطبقيات البودكاست المختلفة. ولكن الحلقات لا تعمل.  أرجو إيجاد حل لهذا الأمر,فاهم,1
جربت ثلاث محاصيل من محمصة جازين اللي تتبعهم.. الصراحة تحميص متواضع جدا مقارنة بالمحامص الأخرى في السوق,سقراط مع عمر الجريسي,1
جربو سماع البرودكاست بدون موسيقى ، شي رائع 👍,آدم مع محمد الحاجي,1
جربوا الرايدنق كوالتي بحي طيبة وتشوفون التطور الي ماوصلته دول أوروبية 😂,سقراط مع عمر الجريسي,1
"جربوا تنشرون شيء عن طلبية وشوفوا أنواع الاسئلة الغبية وعدد الكسالى اللي بيطلعون لكم، 

حتى سالفة اني ما أحط كل المعلومات بالمنشور علشان يضطر",Internet Analysis,1
جزاك الله خير,مُنصِت,6
"جزاك الله خير 
اللهم افتح علينا فتوح العارفين فعلاً اسم الله البصير يخلينا نستشعر خلوتنا مع الله",مُنصِت,1
"جزاك الله خير استاذه مشاعل 
فعلاً حلقه شيقه وتستشعر فيها اسم الله البصير 
اللهم افتح علينا فتوح العارفين",مُنصِت,1
جزاك الله خير ممكن اسم الشيخ  صوته جميل جدآ❤️,مُنصِت,1
جزاك الله خير يادكتوره ونفع الله  بكم,بدون ورق,1
جزاك الله خيرآ,على بصيرة,1
جزاك الله خيرا شكرا 🤩,قانون الجذب,1
جزاك الله خيرا 🤍,مُنصِت,1
جزاك الله خيرااااا,فنجان مع عبدالرحمن أبومالح,1
جزاك الله خيييير 🌹,مُنصِت,1
جزاكم الله خير الجزاء على هذه الحلقة المثرية 🤍👏🏻,بدون ورق,1
جزاكم الله خير يابو مالح وكل من سعى في تقديم هذا البودكاست المبارك,فنجان مع عبدالرحمن أبومالح,1
جزاكم الله خيرا,فاهم,1
"جزاكم الله خيرا
اكثر من رائع",nil,1
جزاكم الله خيرا على هذه الحلقة النافعة,إيه المشكلة,1
جزاكم الله خيراً,إيه المشكلة,3
جزاگ الله خير,مُنصِت,1
جزى الله أبوفجر على المقدمة المشجية، بارك الله في الثلاثة,أسمار,1
جزيت خيرًا,كتب صوتية,1
جعله الله فى موازين حسناتك,مُنصِت,2
"جلال + الهلال + مرتدة
حلقة خرافية قسم بالله 💙",مرتدة,1
جلال موسعة 🩵,مرتدة,1
جلال وكفى 💙,مرتدة,1
جلب ضيف غير حيادي ذو توجه اخواني يدار من الجناح الغربي اليساري كل همه لي الحقائق هذا تسطيح البودكاست و المتابعين. ترمب عبارة  عن ظاهرة صوتية,بدون ورق,1
جلسة السوالف في الكواليس اسطورية,undefined,1
"جلسة سوالف بين محمد وهديل ويارا، مو ""حديث عن الموضة"" مرة. بس حلوة!",بالحديث عن الموضة,1
جلسة مع الكفو تسوى ملايين,فنجان مع عبدالرحمن أبومالح,1
"جلست افكر بهالحلقة طول امس ليش كل هالخطوات وهالتمثيل لعمل فعله مشينه مثل هذي 
1- شوفه شرعية 
2- و من ثم كلم ابوي،  
3- و خذ موافقته ، و و و  ،،، 
معق",احتيال,1
"جمالية الحلقة ليست فقط في اختيار الموضوع، انما ايضًا في اختيار المحاور والسرد القصصي لها. 

وكل مرة اسمع حلقة من هذا البودكاست اقول هذي افضل",الفسحة,1
جمهور ثمانية الرهييبين .. اضافة الفيديوهات فيها صعوبه نوعاً ماً .. اصبروا شوي والخير جايي .. وتروا مافي شي يصب على فريق عبدالرحمن ابو مالح🤩🤩,فنجان مع عبدالرحمن أبومالح,1
جميع حلقات جناية جميلة لاكن وبكل صدق هذه أجمل وأكثر حلقة مشوقة وحابسة للأنفاس من بداية الموسم الأول    أشكر الأستاذ محمد وجميع من ساهموا في ن,جناية,1
جميع من تأثر من الحلقة انصحه جدا بطلب كتاب ( القران نسخة شخصية ) للدكتور احمد خيري ويقرأه بعد رمضان بحيث تكون هذه المعاني الكبيرة في الحياة مس,بدون ورق,1
جميل,1001 Nights | ألف ليلة وليلة,2
جميل,undefined,5
جميل,آدم مع محمد الحاجي,3
جميل,بودكاست أبجورة,3
جميل,بودكاست المتاحف,1
جميل,بودكاست مربّع | مع حاتم النجار,2
جميل,بودكاست يصير خير,1
جميل,جادي,2
جميل,ذا قال,1
جميل,سوالف بزنس مع مشهور الدبيان,4
جميل,غلاف,1
جميل,فنجان مع عبدالرحمن أبومالح,17
جميل,نشرة إلخ,1
"جميل
استفسار بسيط هل اقدر احمل البودكاست واستمع اليه دون انترنت ؟",فنجان مع عبدالرحمن أبومالح,1
"جميل
يعطيكم العافية💐",فنجان مع عبدالرحمن أبومالح,1
جميل ، لاتقطعون ارجعوا,أشياء غيرتنا,1
جميل أن تكون التجربة الأولى لراديو ثمانية مع إبراهيم. أرجو أن يتيسر له التفرغ لتوثيق ما تنعم به ممكلتنا الغالية بتنوعها  الفريد. تخيل برنامج,امش مع,1
جميل أن تَسمع رأي مثل هذا عن ترامب. ولكنّي كنت أراه متطرف بعض الشيء…,undefined,1
جميل إنك تكون متخصص في مجال وتسأل فيه وتقول لا أعلم,فنجان مع عبدالرحمن أبومالح,1
جميل البودكاست بس حسيت انه اكثره دعايه,بودكاست أبجورة,1
جميل التطور في تفاصيل حلقات آدم في هذا الموسم، من تواجد الضيوف والحوارات المقتطفة، إلى القصص بالتفاصيل الأكبر من حلقات الموسم الماضي، استم,آدم مع محمد الحاجي,1
جميل الطرح ماشاءالله.. وأرجو تحرصون تكون الضيفة بدون ( ميكب اب ) .. حتى لا يشتت الهدف من اللقاء ..,فنجان مع عبدالرحمن أبومالح,1
جميل ان تخصصوا حلقة عن سوق الكربون التطوعي .,جادي,1
جميل بس ودنا لو فيه صوره على الصوت مثل اليوتيوب لان فيه مشتركين يندمجون صوت وصورة زيي 😅,سقراط مع عمر الجريسي,1
جميل جدآ وفريد احمد ربك اسمك ثمود هذا يدل على أن الاسم ليس مقياس للصلاح والله هو المصلح,رابط تشعبي,1
جميل جدا,أسمار,1
جميل جدا,احتيال,1
جميل جدا,بدون ورق,1
جميل جدا,بودكاست الغبوق,1
جميل جدا,فنجان مع عبدالرحمن أبومالح,4
جميل جدا البودكاست بتوفيق لك اخوي ابو مالح وجميع الشباب,فنجان مع عبدالرحمن أبومالح,1
جميل جدا بس جاني فضول اعرف اسم المقهى الي تكلم عنه اخر الحلقة,آدم مع محمد الحاجي,1
جميل جدا يا فيصل العيسي أو عامر,فنجان مع عبدالرحمن أبومالح,1
جميل جدا 🌹🌹,فنجان مع عبدالرحمن أبومالح,1
جميل جدا 💯,سقراط مع عمر الجريسي,1
جميل جداً,فنجان مع عبدالرحمن أبومالح,1
